Category_id, Name, Id
1001,교통시설,10001
1001,기타관광,10002
1001,데이트코스,10003
1002,기타레저스포츠,10004
1002,수상레저스포츠,10005
1002,육상레저스포츠,10006
1003,공연시설,10007
1003,기타문화관광지,10008
1003,도시/지역문화관광,10009
1003,도시공원,10010
1003,랜드마크관광,10011
1003,레저스포츠시설,10012
1003,복합관광시설,10013
1003,전시시설,10014
1003,테마공원,10015
1004,기타쇼핑시설,10016
1004,대형마트,10017
1004,백화점,10018
1004,쇼핑몰,10019
1004,시장,10020
1005,역사유물,10021
1005,역사유적지,10022
1005,종교성지,10023
1006,자연경관(산),10024
1006,자연경관(하천/해양),10025
1006,자연공원,10026
1007,농/산/어촌체험,10027
1007,웰니스관광,10028
1008,간이음식,10029
1008,외국식,10030
1008,전문음식,10031
1008,카페/찻집,10032
1008,한식,10033
1008,음식점기타,10034
